[2026-04-14 22:48:33 -0300] [26467] [ERROR] Can't connect to ('127.0.0.1', 5001)
[2026-04-14 22:48:38 -0300] [26477] [INFO] Starting gunicorn 25.3.0
[2026-04-14 22:48:38 -0300] [26477] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:48:38 -0300] [26477] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:48:39 -0300] [26477] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:48:39 -0300] [26477] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:48:40 -0300] [26477] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:48:40 -0300] [26477] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:48:41 -0300] [26477] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:48:41 -0300] [26477] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:48:42 -0300] [26477] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:48:42 -0300] [26477] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:48:43 -0300] [26477] [ERROR] Can't connect to ('127.0.0.1', 5001)
[2026-04-14 22:48:49 -0300] [26484] [INFO] Starting gunicorn 25.3.0
[2026-04-14 22:48:49 -0300] [26484] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:48:49 -0300] [26484] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:48:50 -0300] [26484] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:48:50 -0300] [26484] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:48:51 -0300] [26484] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:48:51 -0300] [26484] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:48:52 -0300] [26484] [ERROR] Connection in use: ('127.0.0.1', 5001)
